,0
0,African
1,Allergy Friendly
2,Asian
3,At the Airport
4,At the Farmers Market
5,BYOB
6,Bakery
7,Bar
8,Barbecue
9,Bed and Breakfast
10,Bistro
11,Brazilian
12,Breakfast
13,Breakfast All Day
14,Brewery
15,Brunch
16,Buffet
17,Cafe
18,Cajun
19,Caribbean
20,Casein-Free Friendly
21,Cash Only
22,Catering
23,Chinese
24,Cidery
25,Coffee Shop
26,Comfort Food
27,Convenience Store
28,Corn-Free Friendly
29,Cuban
30,Dairy-Free Friendly
31,Dedicated Vegan
32,Dedicated Vegetarian
33,Deli
34,Delivery
35,Diner
36,Dog Friendly
37,Eastern European
38,Egg-Free Friendly
39,English/Irish
40,Ethiopian
41,FODMAP Friendly
42,Farm to Table
43,Fast Food
44,Filipino
45,Fine Dining
46,Food Truck
47,Free Wi-Fi
48,French
49,Frozen Yogurt
50,Gastropub
51,German
52,Greek
53,Grocery Store
54,Halal Friendly
55,Happy Hour
56,Hawaiian
57,Health Food Store
58,Healthy
59,Hotel
60,Ice Cream
61,Indian
62,Italian
63,Japanese
64,Juice Bar
65,Keto Friendly
66,Kid Friendly
67,Korean
68,Korean BBQ
69,Kosher Friendly
70,Late Night
71,Latin
72,Live Music
73,Locally Sourced
74,Lunch
75,Meal Plan
76,Mediterranean
77,Mexican
78,Middle Eastern
79,Natural Foods Store
80,No Dine In
81,Nut-Free Friendly
82,Online Ordering
83,Organic
84,Other
85,Outdoor Seating
86,Oyster Bar
87,Paleo Friendly
88,Peanut-Free Friendly
89,Peruvian
90,Pescetarian Friendly
91,Pet Accomodations
92,Plant Based
93,Pub Food
94,Quick Service Restaurant
95,Raw Food
96,Restaurant
97,Romantic
98,Seafood
99,Soccer Bar
100,South American
101,Southern
102,Soy-Free Friendly
103,Spanish
104,Specialty Store
105,Sports Bar
106,Stadium
107,Steakhouse
108,Sugar-Free Friendly
109,Sustainable
110,Takeout
111,Tapas
112,Taqueria
113,Tea Room
114,Tex-Mex
115,Thai
116,Vacation
117,Vegan Friendly
118,Vegetarian Friendly
119,Vietnamese
120,Wine Bar
121,Winery
